"filename", "language", "Markdown", "XML", "JavaScript", "SQL", "HTML", "Vue", "JSON", "CSS", "YAML", "Java", "Java Properties", "comment", "blank", "total"
"d:\Project\Java\Springboot_Vue_Mall\.idea\Springboot_Vue_Mall.iml", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"d:\Project\Java\Springboot_Vue_Mall\.idea\compiler.xml", "XML", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"d:\Project\Java\Springboot_Vue_Mall\.idea\encodings.xml", "XML", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"d:\Project\Java\Springboot_Vue_Mall\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\Project\Java\Springboot_Vue_Mall\.idea\jarRepositories.xml", "XML", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"d:\Project\Java\Springboot_Vue_Mall\.idea\misc.xml", "XML", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"d:\Project\Java\Springboot_Vue_Mall\.idea\modules.xml", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\Project\Java\Springboot_Vue_Mall\.idea\uiDesigner.xml", "XML", 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124
"d:\Project\Java\Springboot_Vue_Mall\.idea\vcs.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\Project\Java\Springboot_Vue_Mall\README.md", "Markdown", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 38
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\compiler.xml", "XML", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\encodings.xml", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\jarRepositories.xml", "XML", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__antlr_antlr_2_7_7.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__backport_util_concurrent_backport_util_concurrent_3_1.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__ch_qos_logback_logback_classic_1_2_6.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__ch_qos_logback_logback_core_1_2_6.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__classworlds_classworlds_1_1_alpha_2.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__cn_hutool_hutool_all_5_7_3.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_alibaba_druid_1_2_2.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_alipay_sdk_alipay_easysdk_2_2_1.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_alipay_sdk_easysdk_kernel_1_0_11.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_aliyun_tea_1_1_13.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_baomidou_mybatis_plus_3_4_2.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_baomidou_mybatis_plus_annotation_3_4_1.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_baomidou_mybatis_plus_boot_starter_3_4_2.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_baomidou_mybatis_plus_core_3_4_1.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_baomidou_mybatis_plus_extension_3_4_1.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_baomidou_mybatis_plus_generator_3_4_1.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_fasterxml_classmate_1_5_1.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_fasterxml_jackson_core_jackson_annotations_2_12_5.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_fasterxml_jackson_core_jackson_core_2_12_5.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_fasterxml_jackson_core_jackson_databind_2_12_5.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_fasterxml_jackson_datatype_jackson_datatype_jdk8_2_12_5.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_fasterxml_jackson_datatype_jackson_datatype_jsr310_2_12_5.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_fasterxml_jackson_module_jackson_module_parameter_names_2_12_5.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_github_jsqlparser_jsqlparser_3_2.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_google_code_findbugs_jsr305_3_0_2.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_google_code_gson_gson_2_8_8.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_google_errorprone_error_prone_annotations_2_3_2.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_google_guava_failureaccess_1_0_1.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_google_guava_guava_28_1_jre.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_google_guava_listenablefuture_9999_0_empty_to_avoid_conflict_with_guava.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_google_j2objc_j2objc_annotations_1_3.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_ibm_icu_icu4j_63_1.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__com_jayway_jsonpath_json_path_2_5_0.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
