Date : 2024-03-27 22:08:12
Directory : d:\Project\Java\Springboot_Vue_Mall
Total : 659 files,  36486 codes, 1051 comments, 3498 blanks, all 41035 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Vue             |         88 |     20,614 |        562 |      1,920 |     23,096 |
| Java            |        231 |      8,256 |        194 |      1,183 |      9,633 |
| XML             |        263 |      3,899 |         10 |         25 |      3,934 |
| JavaScript      |         28 |      2,057 |        149 |        212 |      2,418 |
| YAML            |         35 |        727 |          4 |         52 |        783 |
| SQL             |          1 |        434 |        129 |         41 |        604 |
| JSON            |          7 |        375 |          0 |          6 |        381 |
| Markdown        |          2 |         76 |          0 |         54 |        130 |
| HTML            |          2 |         40 |          1 |          4 |         45 |
| CSS             |          1 |          5 |          0 |          0 |          5 |
| Java Properties |          1 |          3 |          2 |          1 |          6 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                            |        659 |     36,486 |      1,051 |      3,498 |     41,035 |
| . (Files)                                                                                                                                                    |          1 |         30 |          0 |          8 |         38 |
| .idea                                                                                                                                                        |          9 |        217 |          0 |          0 |        217 |
| .idea (Files)                                                                                                                                                |          8 |        211 |          0 |          0 |        211 |
| .idea\inspectionProfiles                                                                                                                                     |          1 |          6 |          0 |          0 |          6 |
| backend                                                                                                                                                      |        501 |     12,484 |        203 |      1,247 |     13,934 |
| backend (Files)                                                                                                                                              |          2 |        213 |          8 |         22 |        243 |
| backend\.idea                                                                                                                                                |        233 |      3,164 |          0 |          0 |      3,164 |
| backend\.idea (Files)                                                                                                                                        |          7 |        226 |          0 |          0 |        226 |
| backend\.idea\libraries                                                                                                                                      |        226 |      2,938 |          0 |          0 |      2,938 |
